Start Date:,1993-01-01 00:00:00,Unnamed: 2,INR,MXN,CZK,ZAR,TRY,RUB,PLN,HUF,THB,SGD,CNH,EUR,AUD,NZD,CAD,NOK,JPY,CHF,SEK,GBP,RON,ILS,USD
End Date:,2022-10-12 00:00:00,Tenor =>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Period,d,Ticker,IRSWNI1 BGN Curncy,G0314Z 1Y BLC2 Curncy,CKSW1 Curncy,SASW1   BGN  Curncy,S0164Z 1Y BLC2 Curncy,GTRUB1Y Govt,PZSW1 Curncy,HFSW1 Curncy,TBSWNI1 BGN  Curncy,SDSW1 CMPN Curncy,GTCNY1Y Govt,EUSA1 BGN Curncy,ADSWAP1 BGN Curncy,NDSWAP1 BGN Curncy,CDSW1 CMPN Curncy,NKSW1 CMPL Curncy,GTJPY1YR Corp,GTCHF1YR Corp,SKSW1 BGNL Curncy,BPSWS1 Curncy,RNSW1 Curncy,ISSW1 Curncy,USGG12M Index
CDR,5D,Date,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last
Dates,False,1993-01-01 00:00:00,,,,,,,,,,,,,6.39,,,,,,,,,,3.582
,,1993-01-04 00:00:00,,,,,,,,,,,,,6.26001,,,,,,,,,,3.518
,,1993-01-05 00:00:00,,,,,,,,,,,,,6.3,,,,,,,,,,3.518
,,1993-01-06 00:00:00,,,,,,,,,,,,,6.46991,,,,,,,,,,3.56
,,1993-01-07 00:00:00,,,,,,,,,,,,,6.48,,,,,,,,,,3.655
,,1993-01-08 00:00:00,,,,,,,,,,,,,6.40991,,,,,,,,,,3.576
,,1993-01-11 00:00:00,,,,,,,,,,,,,6.39,,,,,,,,,,3.533
,,1993-01-12 00:00:00,,,,,,,,,,,,,6.38001,,,,,,,,,,3.533
,,1993-01-13 00:00:00,,,,,,,,,,,,,6.46,,,,,,,,,,3.48
,,1993-01-14 00:00:00,,,,,,,,,,,,,6.34992,,,,,,,,,,3.437
,,1993-01-15 00:00:00,,,,,,,,,,,,,6.39,,,,,,,,,,3.425
,,1993-01-18 00:00:00,,,,,,,,,,,,,6.21002,,,,,,,,,,3.414
,,1993-01-19 00:00:00,,,,,,,,,,,,,6.29,,,,,,,,,,3.5
,,1993-01-20 00:00:00,,,,,,,,,,,,,6.21002,,,,,,,,,,3.489
,,1993-01-21 00:00:00,,,,,,,,,,,,,6.33,,,,,,,,,,3.435
