Start Date:,1993-01-01 00:00:00,Unnamed: 2,INR,MXN,CZK,ZAR,TRY,RUB,PLN,HUF,THB,SGD,CNH,EUR,AUD,NZD,CAD,NOK,JPY,CHF,SEK,GBP,RON,ILS
End Date:,2022-10-12 00:00:00,Tenor =>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Period,d,Ticker,INRUSDCR CMPN Curncy,MXNUSDCR CMPN Curncy,CZKUSDCR CMPN Curncy,ZARUSDCR CMPN Curncy,TRYUSDCR CMPN Curncy,RUBUSDCR CMPN Curncy,PLNUSDCR CMPN Curncy,HUFUSDCR CMPN Curncy,THBUSDCR CMPN Curncy,SGDUSDCR CMPN Curncy,CNYUSDCR CMPN Curncy,EURUSDCR CMPN Curncy,AUDUSDCR CMPN Curncy,NZDUSDCR CMPN Curncy,CADUSDCR CMPN Curncy,NOKUSDCR CMPN Curncy,JPYUSDCR CMPN Curncy,CHFUSDCR CMPN Curncy,SEKUSDCR CMPN Curncy,GBPUSDCR CMPN Curncy,RONUSDCR CMPN Curncy,ILSUSDCR CMPN Curncy
CDR,5D,Date,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last
Dates,False,1993-01-01 00:00:00,,,,112.9392,,,,,,,,108.3354,106.9071,84.4408,120.5644,106.6113,113.0985,106.5005,103.7397,83.8082,#N/A Invalid Security,
,,1993-01-04 00:00:00,,,,112.1086,,,,,,,,106.6934,105.6755,84.2033,119.35,105.8513,112.6585,105.6116,102.1868,83.2931,,
USDCR,,1993-01-05 00:00:00,,,,112.5497,,,,,,,,107.0307,104.6617,83.1952,119.8728,106.5148,113.112,106.2247,101.9313,86.0531,,
,,1993-01-06 00:00:00,,,,112.6772,,,,,,,,106.8685,104.1457,83.2689,119.7121,105.9261,112.825,105.0498,101.3976,85.6611,,
,,1993-01-07 00:00:00,,,,112.6396,,,,,,,,107.0744,103.8463,83.5066,119.6546,105.8098,112.7191,104.6025,100.1917,85.0524,,
,,1993-01-08 00:00:00,,,,111.8361,,,,,,,,106.8678,104.4931,83.8589,119.4483,105.6139,112.5773,104.1385,98.7363,85.0653,,
,,1993-01-11 00:00:00,,,,112.6005,,,,,,,,107.9065,104.4879,84.179,119.9326,106.3336,112.8493,104.8114,99.968,86.2727,,
,,1993-01-12 00:00:00,,,,112.7282,,,,,,,,107.4984,104.3884,84.1879,119.9209,106.8803,112.6714,104.3036,99.4514,85.808,,
,,1993-01-13 00:00:00,,,,112.4708,,,,,,,,107.4938,103.7911,84.0989,119.7219,106.7396,112.3866,105.4814,100.1472,86.1042,,
,,1993-01-14 00:00:00,,,,112.6167,,,,,,,,108.1032,104.0777,84.0925,119.8787,107.2086,112.2012,105.3491,101.8455,85.4222,,
,,1993-01-15 00:00:00,,,,112.5621,,,,,,,,107.7822,104.5497,84.4806,119.633,107.6305,112.0077,104.4656,101.1758,85.0737,,
,,1993-01-18 00:00:00,,,,112.5995,,,,,,,,108.4887,104.8821,84.3934,120.212,108.5286,112.4114,105.7829,101.9019,86.1702,,
,,1993-01-19 00:00:00,,,,112.6003,,,,,,,,109.099,104.268,84.2569,120.0116,108.8782,112.5754,106.4413,102.6381,86.0163,,
,,1993-01-20 00:00:00,,,,112.6371,,,,,,,,109.4986,103.8557,84.4326,119.9151,109.4246,113.2729,106.524,103.2978,85.8345,,
,,1993-01-21 00:00:00,,,,112.7104,,,,,,,,108.8531,104.2822,84.2478,119.3711,108.3044,113.0485,105.7207,102.0567,84.6791,,
,,1993-01-22 00:00:00,,,,112.7103,,,,,,,,109.7361,104.4766,84.6708,119.5837,110.0163,112.8338,107.3111,103.6792,85.0808,,
,,1993-01-25 00:00:00,,,,113.3365,,,,,,,,111.8059,104.376,85.0451,120.0397,111.1147,114.5185,108.0992,104.7149,86.5953,,
,,1993-01-26 00:00:00,,,,113.392,,,,,,,,111.5299,105.0216,85.0914,120.6122,111.3122,114.3068,107.7744,104.522,85.6155,,
,,1993-01-27 00:00:00,,,,113.2256,,,,,,,,110.9636,104.7356,84.7758,120.9989,110.2717,113.7746,106.9377,103.7449,84.0958,,
,,1993-01-28 00:00:00,,,,113.263,,,,,,,,110.5642,105.7384,85.2481,121.0051,110.2207,113.767,106.9694,102.6943,84.4233,,
,,1993-01-29 00:00:00,,,,113.0053,,,,,,,,109.083,105.6389,84.9646,121.1736,108.4858,113.2578,105.2319,101.318,82.6917,,
,,1993-02-01 00:00:00,,,,112.5114,,,,,,,,107.4515,104.7623,84.3685,121.5438,107.1123,112.9244,103.0728,99.0432,81.2101,,
,,1993-02-02 00:00:00,,,,112.1841,,,,,,,,106.769,105.6715,84.8402,121.4533,106.9106,113.3333,102.953,99.6709,80.4067,,
,,1993-02-03 00:00:00,,,,111.9487,,,,,,,,106.6756,105.4314,84.8847,121.2378,106.102,113.5162,102.638,98.1804,79.9317,,
,,1993-02-04 00:00:00,,,,111.4464,,,,,,,,105.9218,105.7665,84.8141,121.3964,105.9789,113.2438,102.1448,98.7313,80.2362,,
,,1993-02-05 00:00:00,,,,111.6614,,,,,,,,106.3909,104.9672,84.3483,121.9306,106.3683,113.5172,102.2865,99.5897,80.5292,,
,,1993-02-08 00:00:00,,,,111.3403,,,,,,,,106.1303,104.293,84.0142,121.6554,106.183,114.1048,101.9956,99.1803,80.1542,,
