Start Date:,1993-01-01 00:00:00,Unnamed: 2,INR,MXN,CZK,ZAR,TRY,RUB,PLN,HUF,THB,SGD,CNH,EUR,AUD,NZD,CAD,NOK,JPY,CHF,SEK,GBP,RON,ILS
End Date:,2022-10-12 00:00:00,Tenor =>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Period,d,Ticker,IRN+3M BGNL Curncy,MXN3M BGNL Curncy,CZK3M BGNL Curncy,ZAR3M BGNL Curncy,TRY3M BGNL Curncy,RUB3M BGNL Curncy,PLN3M BGNL Curncy,HUF3M BGNL Curncy,THB3M BGNL Curncy,SGD3M BGNL Curncy,CNH3M BGNL Curncy,EUR3M BGNL Curncy,AUD3M BGNL Curncy,NZD3M BGNL Curncy,CAD3M BGNL Curncy,NOK3M BGNL Curncy,JPY3M BGNL Curncy,CHF3M BGNL Curncy,SEK3M BGNL Curncy,GBP3M BGNL Curncy,RON3M BGNL Curncy,ILS3M BGNL Curncy
CDR,5D,Date,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last,Px Last
Dates,False,1993-01-01 00:00:00,,,,3.1165,,,,,,1.6395,,,0.685,0.5108,1.281243,7.1175,124.9761,1.476821,7.218501,1.4972,,
,,1993-01-04 00:00:00,,,,3.1405,,,,,,1.650499,,,0.679531,0.5092,1.294335,7.15,125.4665,1.489859,7.325,1.4877,,
USD,,1993-01-05 00:00:00,,,,3.1305,,,,,,1.652499,,,0.67051,0.5012,1.289681,7.099999,124.9661,1.480947,7.334,1.5367,,
,,1993-01-06 00:00:00,,,,3.1281,,,,,,1.659499,,,0.6665,0.5003,1.291402,7.139999,125.2864,1.497193,7.384,1.528658,,
,,1993-01-07 00:00:00,,,,3.1315,,,,,,1.657499,,,0.666,0.5047,1.292111,7.14,125.4078,1.503931,7.519,1.517248,,
,,1993-01-08 00:00:00,,,,3.149,,,,,,1.660549,,,0.669,0.506804,1.294706,7.2,125.5472,1.510201,7.5935,1.5182,,
,,1993-01-11 00:00:00,,,,3.134,,,,,,1.659,,,0.6704,0.5097,1.28919,7.112,125.2663,1.501247,7.503,1.5395,,
,,1993-01-12 00:00:00,,,,3.1315,,,,,,1.6565,,,0.6708,0.5094,1.289097,7.11,125.486,1.508228,7.67,1.5307,,
,,1993-01-13 00:00:00,,,,3.1403,,,,,,1.659499,,,0.6665,0.5093,1.291663,7.109999,125.8078,1.49199,7.554999,1.536199,,
,,1993-01-14 00:00:00,,,,3.1375,,,,,,1.658513,,,0.6666,0.5084,1.289903,7.059001,126.0165,1.493871,7.367,1.5238,,
,,1993-01-15 00:00:00,,,,3.141,,,,,,1.6595,,,0.671313,0.510612,1.292848,7.0215,126.2563,1.506783,7.407627,1.5172,,
,,1993-01-18 00:00:00,,,,3.141,,,,,,1.6585,,,0.673,0.5113,1.286679,6.971,125.7863,1.488168,7.37,1.5369,,
,,1993-01-19 00:00:00,,,,3.141,,,,,,1.656501,,,0.669,0.5095,1.288603,6.947,125.6061,1.479112,7.349146,1.533608,,
,,1993-01-20 00:00:00,,,,3.1392,,,,,,1.657,,,0.6658,0.5092,1.290009,6.9275,124.8159,1.478106,7.297,1.529908,,
,,1993-01-21 00:00:00,,,,3.138,,,,,,1.657046,,,0.6658,0.5073,1.296456,6.990999,125.0675,1.489577,7.3685,1.5099,,
,,1993-01-22 00:00:00,,,,3.1415,,,,,,1.6465,,,0.669,0.5105,1.29481,6.94,125.287,1.467541,7.325,1.516265,,
,,1993-01-25 00:00:00,,,,3.125,,,,,,1.6455,,,0.6694,0.5129,1.289599,6.82,123.4265,1.456976,7.189001,1.544537,,
,,1993-01-26 00:00:00,,,,3.1255,,,,,,1.6405,,,0.672,0.5136,1.283254,6.81,123.6566,1.461504,7.203,1.528401,,
,,1993-01-27 00:00:00,,,,3.13,,,,,,1.6395,,,0.671,0.5119,1.279322,6.856001,124.2378,1.473175,7.243501,1.500509,,
,,1993-01-28 00:00:00,,,,3.1295,,,,,,1.639001,,,0.6779,0.5145,1.279238,6.877,124.2704,1.472873,7.34,1.505812,,
,,1993-01-29 00:00:00,,,,3.1365,,,,,,1.64861,,,0.6762,0.5124,1.277578,6.987499,124.8099,1.496071,7.44,1.474899,,
,,1993-02-01 00:00:00,,,,3.1515,,,,,,1.649501,,,0.6721,0.5112,1.273885,7.0785,125.1793,1.528848,7.612501,1.448609,,
,,1993-02-02 00:00:00,,,,3.16,,,,,,1.649501,,,0.6765,0.5117,1.274494,7.091,124.7086,1.530526,7.564001,1.4342,,
,,1993-02-03 00:00:00,,,,3.168,,,,,,1.649501,,,0.6765,0.5122,1.276667,7.145,124.4693,1.5343,7.68,1.425901,,
,,1993-02-04 00:00:00,,,,3.184,,,,,,1.649501,,,0.676,0.5117,1.275205,7.155,124.78,1.541669,7.6139,1.43085,,
,,1993-02-05 00:00:00,,,,3.18,,,,,,1.649501,,,0.6727,0.5096,1.269779,7.1174,124.4693,1.541232,7.57,1.436239,,
