Start Date:,1993-01-01 00:00:00,Unnamed: 2,INR,MXN,CZK,ZAR,TRY,RUB,PLN,HUF,THB,SGD,CNH,EUR,AUD,NZD,CAD,NOK,JPY,CHF,SEK,GBP,RON,ILS,USD
End Date:,2022-10-12 00:00:00,Tenor =>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Period,d,Ticker,IRSWNIF BGNL Curncy,MPSWF BGN Curncy,PRIB06M Index,JIBA6M Index,F96506M Index,RRUSSWF CMPN Curncy,WIBR6M Index,BUBOR06M Index,F12206M Index,SDLFD6M  ISCF Curncy,I29906M Index,EUSWFV1 BGN Curncy,ADSWQF BGN Curncy,NDBB6M CMPN Curncy,CDSWF CMPN Curncy,NIBOR6M Index,JY0006M Index,VSF0006M Index,STIB6M      Index,BP0006M Index,RNDRF Curncy,TELBOR06 Index,USGG6M Index
CDR,5D,Date,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last
Dates,False,1993-01-01 00:00:00,,,,,,,,,,,,,,7.4583,,10.96,3.75,,10.525,7,,,3.375
,,1993-01-04 00:00:00,,,,,,,,,,,,,,7.4583,,10.97,3.75,,10.55,6.9375,,,3.354
,,1993-01-05 00:00:00,,,,,,,,,,,,,,7.4338,,10.74,3.6875,,10.05,7.0625,,,3.354
,,1993-01-06 00:00:00,,,,,,,,,,,,,,8.1886,,10.33,3.6875,,10.05,7.125,,,3.345
,,1993-01-07 00:00:00,,,,,,,,,,,,,,9.0125,,10.22,3.625,,10.05,7.0625,,,3.376
,,1993-01-08 00:00:00,,,,,,,,,,,,,,8.07,,10.22,3.625,,10.2,7.125,,,3.291
,,1993-01-11 00:00:00,,,,,,,,,,,,,,7.6678,,10.34,3.625,,10.25,7.0625,,,3.27
,,1993-01-12 00:00:00,,,,,,,,,,,,,,7.6678,,10.41,3.6875,,10.35,7.0625,,,3.25
,,1993-01-13 00:00:00,,,,,,,,,,,,,,7.4,,10.46,3.6875,,10.25,6.9375,,,3.229
,,1993-01-14 00:00:00,,,,,,,,,,,,,,7.4,,10.36,3.6875,,10.2,6.875,,,3.229
,,1993-01-15 00:00:00,,,,,,,,,,,,,,7.45,,10.05,3.6875,,10.175,6.875,,,3.176
,,1993-01-18 00:00:00,,,,,,,,,,,,,,7.2167,,9.99,3.625,,10.15,6.875,,,3.197
,,1993-01-19 00:00:00,,,,,,,,,,,,,,7.45,,9.9,3.625,,10.15,6.875,,,3.249
,,1993-01-20 00:00:00,,,,,,,,,,,,,,7.45,,9.99,3.625,,10.15,6.875,,,3.229
,,1993-01-21 00:00:00,,,,,,,,,,,,,,8,,10.03,3.625,,10.15,6.625,,,3.187
